site_no;site;latitude;longitude;altitude;annual_mean_temperature;Unit_annual_mean_temperature;annual_rainfall;Unit_annual_rainfall;Ackerzahl;soil_type;soil_texture;soil_texture_class;field_capacity;Unit_field_capacity;available_water_capacity;Unit_availabe_water_root_zone;availabe_water_root_zone;Unit_availabe_water_root_zone
1;Kannemoor;53.983;9.05;1;8.1;°C;853;mm;64;fluvisol;clayey loam;Lts;322;mm;140;mm;550;mm
2;Reutershof;53.686;13.288;31;8.1;°C;559;mm;37;cambisol;sandy loam;Sl3;280;mm;173;mm;169;mm
3;Suderburg;52.873;10.451;70;7.9;°C;681;mm;35;cambisol;loamy fine sand;mSfS;220;mm;145;mm;98;mm
4;Hamersleben;52.066;11.085;100;8.8;°C;492;mm;92;chernozem;silty loam;Ut2-3;343;mm;236;mm;275;mm
5;Wörbzig;51.716;11.93;90;8.5;°C;515;mm;91;chernozem;silty loam;Ut3;342;mm;241;mm;278;mm
6;Harste;51.6;9.87;150;8.8;°C;602;mm;83;luvisol;silty loam;Ut3;330;mm;225;mm;274;mm
7;Friemar;50.974;10.791;285;7.5;°C;519;mm;83;chernozem;silty loam;Ut3;342;mm;228;mm;276;mm
8;Kelz;50.775;6.583;135;10;°C;702;mm;81;luvisol;silty loam;Ut3;332;mm;223;mm;272;mm
9;Heuchelheim;49.578;8.292;104;9.8;°C;540;mm;80;cambisol;silty loam;Ut2;336;mm;230;mm;247;mm
10;Euerhausen;49.6;9.933;310;9.1;°C;625;mm;80;luvisol;silty loam;Ut3;339;mm;220;mm;243;mm
11;Plattling;48.798;12.827;325;7.6;°C;800;mm;85;luvisol;silty loam;Ut3;332;mm;225;mm;273;mm
