Irrigation;site_no;site;Trial;date;irrigation_amoun;Unit_irrigation
Irrigation;3;Suderburg;3_2;03/07/2000;25;mm
Irrigation;5;Wörbzig;5_2;21/07/2000;28;mm
Irrigation;5;Wörbzig;5_2;04/08/2000;30;mm
Irrigation;3;Suderburg;3_2;10/08/2000;25;mm
Irrigation;3;Suderburg;3_2;23/08/2000;25;mm
Irrigation;3;Suderburg;3_2;06/09/2000;25;mm
Irrigation;9;Heuchelheim;9_3;09/07/2001;25;mm
Irrigation;3;Suderburg;3_4;19/07/2001;30;mm
Irrigation;9;Heuchelheim;9_3;21/07/2001;40;mm
Irrigation;3;Suderburg;3_4;03/08/2001;25;mm
Irrigation;9;Heuchelheim;9_3;04/08/2001;40;mm
Irrigation;5;Wörbzig;5_4;16/08/2001;36;mm
Irrigation;9;Heuchelheim;9_3;18/08/2001;40;mm
Irrigation;9;Heuchelheim;9_3;30/08/2001;25;mm
